Number of valid computations:,,91,91,91,91,69,63,59,56,67,61,69,68,76,73,63,60,73,71,71,70,86,86,73,67,13,6,65,62,74,70,62,59,71,67,66,60,73,70
Ratio of valid computations:,,0.561728395,0.561728395,0.561728395,0.561728395,0.425925926,0.388888889,0.364197531,0.345679012,0.413580247,0.37654321,0.425925926,0.419753086,0.469135802,0.450617284,0.388888889,0.37037037,0.450617284,0.438271605,0.438271605,0.432098765,0.530864198,0.530864198,0.450617284,0.413580247,0.080246914,0.037037037,0.401234568,0.382716049,0.456790123,0.432098765,0.382716049,0.364197531,0.438271605,0.413580247,0.407407407,0.37037037,0.450617284,0.432098765
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25 quantile:,,,,,6.804878049,7.692307692,1.641025641,1.136993603,1.5,1.142857143,1.571428571,0.970588235,1.5,1.007462687,0.85,0.5,0.098076923,0.093181818,0.860576923,0.5,0.125,0.083333333,1.647058824,0.793939394,0.515151515,97.9,0.875,0.572510823,0.052205882,0.111111111,1,0.619047619,0,0.205555556,6.595238095,7.716180371,1.636363636,1.306730769
,median:,,,,,18.41269841,20,2.625,1.6875,2.882352941,1.787878788,2.4,1.525,2.407142857,1.571428571,1.275,0.851648352,0.370192308,0.285714286,1.777777778,0.96969697,0.3875,0.235294118,2.75,1.444444444,4.875,118.8,1.9375,0.911330049,0.398190045,0.428571429,1.784615385,1.03030303,0.305531547,0.464285714,15.6875,21.60823171,2.857142857,2.401685393
,0.75 quantile:,,,,,40.30555556,59.71634615,4.878787879,2.693181818,6.010907003,3.2,4.625,2.515625,5.354166667,2.666666667,3.725,1.776785714,1,0.761029412,3.401754386,1.593939394,1.034965035,0.5,5.25,2.5,13.08333333,nan,3.461538462,1.728571429,1.108173077,0.666666667,3.499021526,1.669117647,0.875,0.91511194,43.05890152,55.92708333,6.4,4.364583333
Relative distance to minimum number of optimality cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,1.495526764,5.751277476,7.230061935,9.32652516,4.275027841,8.579216325,7.119081037,7.476136414,3.165030942,4.224042479,8.692149651,9.769706292,0.399009185,2.261099211,8.669682168,9.483248292,0.352707539,0.654933149,3.302902887,10.28073982,8.167846775,47.23822751,9.403775002,16.03802359,0.474117106,2.068929496,9.549925933,13.39960283,0.515648984,5.637746385,3.963900127,8.019964423,6.083767326,19.28837814
,std error of mean:,,,,,0.21434184,0.853790646,1.628160929,1.944880401,0.749589133,1.525128191,1.509939206,1.72563391,0.609556923,0.808473938,2.099128916,1.815497622,0.089271213,0.390506279,1.916572548,2.053415034,0.06829203,0.085007243,0.382663329,3.298122542,3.022735331,28.03283982,2.368747989,4.651162219,0.087021765,0.296829342,2.471897519,2.775963196,0.089663898,1.902617451,0.541916795,1.489748304,1.13895071,4.118273893
,0.25 quantile:,,,,,0.243243243,1.830637724,1.028554779,1.82622739,0.663131313,1.497816594,0.909090909,0.836376404,0.435240833,0.75862069,1.118823529,1.903446844,0.025641026,0.416116577,1.10704607,1.00255814,0,0.214673913,1.111111111,2.944444444,1,14.85952381,1.111111111,1.779047949,0.080833333,0.615826613,1.256410256,2.166666667,0.052331395,0.691433342,1.192183463,2.418071654,0.646169355,3.420481928
,median:,,,,,0.968253968,4,3.208092486,4.075,1.545454545,3.75,2.555555556,2.31372549,1.20711501,1.603174603,2.62962963,4.109036145,0.179487179,1.13963964,2.722222222,2.386928105,0.205077724,0.482964524,2.638888889,4.936479129,2.25,18.13333333,3.188405797,4.854518072,0.277777778,1.333097094,3.246615313,4.515283843,0.276998597,1.715447154,2.836393192,5.329206349,2.645792564,6.876876877
,0.75 quantile:,,,,,2.103174603,6.742835596,6.01607717,8.568903319,4.962301587,10.53571429,7.454545455,6.462936047,2.962936047,3.977477477,7.973049645,11.22094595,0.486111111,2.739487179,7.453835554,8.818168605,0.494698661,0.852027027,4.166666667,7.645166874,8.372093023,28.7875,8.933333333,13.85634035,0.492063492,2.544594668,9.236111111,16.81439394,0.612914863,3.689902467,4.985873016,10.44444444,6.357142857,17.32583335
Relative distance to minimum number of cuts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
