(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_CPX_all_completed_30June2026-23h05_restricted.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,CPX_T-0.0001_ILP_flow_strong,GRB_F_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,CPX_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,CPX_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,GRB_F_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,GRB_F_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,GRB_R-1_T-0.0001_HT,CPX_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,CPX_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb
,std error of mean:,,,,,0.96790437,1.104280194,0.899033814,0.773763326,0.569656038,0.653321267,0.908526449,0.617798939,0.534942715,0.713940034,1.004475143,0.93734011,0.39748992,0.996497186,0.85971897,0.708517526,0.400076715,0.944303564,0.77726984,1.015446121,2.345838566,2.947849185,1.049108254,0.610722337,0.717151078,1.115808745,0.861232543,0.774001164,0.490466115,1.021924941,0.880108883,0.844875621,0.712343202,0.724114016
,0.25 quantile:,,,,,1,3.5,7,13.75,8,16,6,17.75,6,17,4,13.75,4,2,6,18,1,5,10,9.5,8,18.5,8,21.25,6,8,6,16,4,3,14,19,8,11
,median:,,,,,3,11,11,18,11,19,12,23,8.5,22,9,19.5,6,6,13,24,3,11.5,15,16,15,21.5,14,25,8,17.5,12,19,7,7,18,27,12,15
,0.75 quantile:,,,,,10,17.5,15.5,22,15,23,16,26,12,26,18,23.25,9,17,19,27.75,6,21,20,24.5,19,23.75,24,28,13,26,18.75,24,9.5,17,25.75,30,16,20.75
Rank of maximum resident memory size:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,14.27536232,23.72222222,9.847457627,16.04464286,8.791044776,17.07377049,12.01449275,16.5,10.29605263,15.05479452,10.83333333,17.16666667,6.821917808,10.77464789,12.30985915,17.47142857,7.186046512,10.04069767,15.67123288,23.79850746,17.73076923,26.66666667,12.83846154,18.10483871,7.493243243,11.97142857,10.38709677,18.74576271,6.542253521,10.57462687,18.75757576,25.75,17.55479452,23.65714286
,std error of mean:,,,,,0.897002888,0.717784884,0.791840593,1.078937732,0.682837799,0.881735303,0.748236814,0.7960896,0.730421843,0.730508377,0.824938823,1.133374182,0.738289439,0.809386802,0.799868951,0.925593341,0.755323925,0.72075275,0.997614869,0.795541969,2.716166473,3.437268511,0.800895039,1.038234783,0.842808557,0.785252183,0.747995879,1.122769286,0.745265189,0.776639732,0.79687769,0.669525122,0.754206422,0.661749603
,0.25 quantile:,,,,,9,20.5,5,9.875,5,13,7,10.875,5.75,11,6,11.125,2,5.25,8.25,12.125,2.25,5,9,19.25,8,20.5,8,11.25,2,6,6.5,13.5,2,6,13.25,23,13,20.25
,median:,,,,,13,25,9,15.75,7.5,18,12,17,9,15,9,18,4,8,11,19,4,8,14.5,26,18,31,12.5,20.5,5,12,9,22,4,9,18.5,27,17,25.5
,0.75 quantile:,,,,,19,28,13,22,11,21.5,16,22,15.625,19.5,15,24,11,14.5,17.5,23.375,9,14,23,30,27.5,33.25,18,24.875,11,17,15,25,9.5,15,23,30,22,28
Rank of maximum virtual memory size:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,17.67391304,17.49206349,16.70338983,11.38392857,14.59701493,11.63934426,17.97101449,11.47794118,14.56578947,10.40410959,17.17460317,11.43333333,10.20547945,5.852112676,18.79577465,12.1,11.05813953,5.529069767,22.19178082,16.62686567,23.23076923,13.83333333,17.88461538,12.87903226,13.68243243,6.907142857,16.77419355,12.50847458,11.52816901,6.067164179,22.18181818,19.21666667,22.98630137,16.68571429
,std error of mean:,,,,,0.882501962,0.916210775,0.904529018,1.231236149,0.847548245,0.826864441,0.746122375,1.00986879,0.80302741,0.72257239,0.840232869,1.218632354,0.856840041,0.553826956,0.714126,1.03906355,0.816500111,0.447285746,1.009740056,0.842678642,2.611204456,1.516880327,0.746967774,1.156165072,1.013584427,0.528310057,0.76843265,1.262028681,0.895662104,0.502820683,0.883713752,0.857675044,0.901509993,0.779466813
,0.25 quantile:,,,,,12,12,11,3,9,7,13,5,9,5.5,13,2,3,2,15,4,4,2,15,12,18,12.5,14,5,5,4,12.25,4,4.5,2.75,17,14,18,12
,median:,,,,,19,14,16,8.5,15,9,19,7,16,8,18.5,10,8,5,19,10,9,5,25,15,29,14.5,18,10,16,6,17.25,9,13,6,23,16.5,24,14
,0.75 quantile:,,,,,24,25,22,19.25,21,18,22,18.5,20.25,15,23,19,17,8,23.5,20.5,17,7,29,20,31,15.75,23,21,20,9,20.875,22,17.75,9,28,26,30,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A2: Computations with methods reaching time limit (36000s) about networks in Block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,0,0,0,0,9,15,16,19,11,17,16,17,10,13,16,19,2,4,18,19,1,1,13,19,5,12,18,21,2,6,17,20,1,5,15,21,13,16
Ratio of valid computations:,,0,0,0,0,0.055555556,0.092592593,0.098765432,0.117283951,0.067901235,0.104938272,0.098765432,0.104938272,0.061728395,0.080246914,0.098765432,0.117283951,0.012345679,0.024691358,0.111111111,0.117283951,0.00617284,0.00617284,0.080246914,0.117283951,0.030864198,0.074074074,0.111111111,0.12962963,0.012345679,0.037037037,0.104938272,0.12345679,0.00617284,0.030864198,0.092592593,0.12962963,0.080246914,0.098765432
Rank of relative gap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
